# {"t_start": 1548777949.9553475, "env_id": "PongNoFrameskip-v4"} 
r,l,t
21.0,1629,15839.597505
21.0,1633,15854.367113
20.0,1657,15869.47672
17.0,1854,15886.321118
21.0,1628,15901.079436
20.0,1659,15916.326224
20.0,1686,15931.671571
21.0,1629,15946.370552
21.0,1628,15961.114938
21.0,1628,15975.80592
21.0,1625,15990.463836
20.0,1725,16006.040977
19.0,1983,16023.981136
21.0,1631,16038.83684
20.0,1712,16054.431281
21.0,1620,16069.130879
16.0,2008,16087.411753
21.0,1740,16103.116418
21.0,1630,16117.914527
19.0,1742,16133.860322
18.0,1921,16151.181095
21.0,1629,16165.949461
21.0,1632,16180.927145
20.0,1706,16196.407264
20.0,1726,16212.043503
20.0,1687,16227.437681
21.0,1632,16242.143661
19.0,1790,16258.443761
18.0,1840,16275.126165
20.0,1660,16290.163779
16.0,1836,16306.831738
19.0,1845,16323.393207
20.0,1787,16339.5671
17.0,1890,16356.702042
19.0,1799,16372.902743
20.0,1684,16388.309331
20.0,1844,16405.049915
19.0,1816,16421.618945
21.0,1635,16436.44412
